angDist,index,ra,dec,no,ra_hour,ra_min,ra_sec,ra_err,dec_deg,dec_min,dec_sec,dec_err,epoch,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.152577,31,270.968512,-24.360692,1190,18,3,52.443,2000,-24,21,38.49,7000,1983.6328,270.96852307100,-24.36073316500,0.003,0.002,90,4066022591147527552,270.96852344395,0.0788,-24.36073988259,0.0780,0.8505,0.0952,0.079,0.165,-1.560,0.135,0,8.43766e+07,6.24215e+04,5.872811,5.94212e+07,3.18141e+05,5.916535,3.82539e+07,1.11424e+05,5.805230,0.111306,,,9162.00,0.4280,0.2077,,
0.053549,32,275.844979,-12.681053,1197,18,23,22.795,1400,-12,40,51.79,2000,1983.6328,275.84496430600,-12.68104903190,0.007,0.006,90,4152794914909611904,275.84496407139,0.3442,-12.68105357750,0.1712,0.3165,0.2790,-0.053,0.449,-1.056,0.397,0,1.08501e+07,2.38743e+04,8.099781,9.81425e+05,6.70035e+03,10.371745,1.66241e+07,2.94289e+04,6.710075,3.661670,21.64,0.93,3378.00,2.1023,1.2083,,
0.114184,33,282.519971,33.362692,1201,18,50,4.793,1000,33,21,45.69,1000,1982.3648,282.51998266300,33.36266181520,0.009,0.009,0,2090687795054381056,282.51999075247,0.2731,33.36265095415,0.3021,1.0851,0.3398,1.569,0.582,-2.523,0.594,1,1.89125e+07,2.50299e+06,7.496496,3.25454e+07,1.08078e+07,6.570164,5.75835e+07,1.66207e+07,5.361174,1.208990,,,5095.63,,,,
1.612443,34,287.108106,52.425944,1207,19,8,25.9454,2200,52,25,33.397,2000,1986.219,287.10746016300,52.42573064990,0.003,0.003,90,2134306791416506368,287.10673896410,0.0954,52.42549663567,0.0998,13.6169,0.0898,-102.142,0.193,-54.352,0.179,0,1.01612e+08,1.92484e+05,5.671001,4.20816e+07,2.36211e+05,6.291158,8.24613e+07,4.92567e+05,4.971295,1.319863,17.47,10.91,4622.96,0.4212,0.2090,8.03,26.537
0.117737,35,299.590335,35.201635,1219,19,58,21.6804,400,35,12,5.887,900,1983.567,299.59031591400,35.20160625340,0.001,0.001,0,2059383668236814720,299.59029546123,0.0225,35.20157968587,0.0291,0.4218,0.0321,-3.882,0.048,-6.171,0.054,0,7.35014e+06,5.13795e+03,8.522627,3.19058e+06,7.09634e+03,9.091714,5.97732e+06,1.50380e+04,7.820653,1.271061,,,4998.84,,,56.60,1802.333
0.104265,36,305.116608,43.854528,1225,20,20,27.986,1000,43,51,16.3,1000,1982.42,305.11656806100,43.85452493750,0.001,0.001,0,2081261372633822592,305.11654027825,0.0228,43.85451612426,0.0302,0.5815,0.0286,-4.653,0.050,-2.047,0.056,0,4.22984e+07,1.97916e+04,6.622556,2.35041e+07,3.32194e+04,6.923528,2.66154e+07,5.04075e+04,6.199087,0.724442,,,6047.03,,,63.63,4877.733
0.072266,37,308.093454,41.305275,1227,20,32,22.429,2000,41,18,18.99,2000,1983.6305,308.09343389900,41.30526177290,0.002,0.001,90,2067830941174418048,308.09341623081,0.0505,41.30524418630,0.0485,0.6376,0.0564,-3.083,0.101,-4.085,0.080,1,9.53738e+06,4.98967e+04,8.239793,2.30643e+06,4.20972e+04,9.444037,1.15211e+07,1.84606e+05,7.108184,2.335853,,,3728.78,,,103.22,1855.733
1.059032,38,330.377704,43.890353,1246,22,1,30.649,2000,43,53,25.27,2000,1982.429,330.37808656300,43.89045560800,0.001,0.001,90,1961028607902617216,330.37842778994,0.0243,43.89054891774,0.0264,5.4880,0.0366,57.115,0.054,21.672,0.049,0,7.16227e+06,3.32579e+04,8.550739,2.72780e+06,6.91649e+04,9.261858,5.98121e+06,7.78651e+04,7.819948,1.441910,,,4354.50,,,6.30,12.843
1.239698,39,332.170437,45.742017,1250,22,8,40.905,1000,45,44,31.26,1000,1982.429,332.17007515500,45.74225112380,0.001,0.001,0,1962909425622345728,332.16975317192,0.0218,45.74245430181,0.0227,23.4332,0.0298,-52.190,0.043,47.190,0.046,0,8.27126e+07,1.91553e+05,5.894436,4.14342e+07,1.42721e+05,6.307991,5.81950e+07,4.30901e+05,5.349706,0.958285,,,5310.81,,,2.95,6.221
0.460953,40,348.349008,2.675325,1263,23,13,23.762,1000,2,40,31.17,1000,1983.6305,348.34906251000,2.67544088803,0.001,0.001,0,2658507622907361536,348.34917900973,0.0539,2.67555857840,0.0535,11.0976,0.0799,27.029,0.090,27.335,0.091,0,2.77265e+07,7.74878e+04,7.081128,1.27318e+07,1.45365e+05,7.589161,2.06141e+07,1.79654e+05,6.476508,1.112653,,,4996.00,,,4.18,9.826
0.321559,41,348.349017,2.675364,1263,23,13,23.7641,500,2,40,31.31,4000,1983.567,348.34906251000,2.67544088803,0.001,0.001,0,2658507622907361536,348.34917900973,0.0539,2.67555857840,0.0535,11.0976,0.0799,27.029,0.090,27.335,0.091,0,2.77265e+07,7.74878e+04,7.081128,1.27318e+07,1.45365e+05,7.589161,2.06141e+07,1.79654e+05,6.476508,1.112653,,,4996.00,,,4.18,9.826
1.523022,43,62.420267,-7.893233,2083,4,9,40.864,5000,-7,53,35.64,7000,1987.01,62.42038719400,-7.89282703576,0.001,0.001,90,3195770373365197440,62.42054926949,0.0280,-7.89238505873,0.0202,18.1594,0.0412,37.287,0.056,102.653,0.035,0,3.13709e+07,5.90167e+04,6.947049,1.58767e+07,9.77197e+04,7.349488,2.16292e+07,1.12003e+05,6.424318,0.925170,,,5447.25,,,2.21,3.863
0.166660,44,83.84111,-4.494224,2115,5,35,21.8664,1300,-4,29,39.206,2000,1985.035,83.84111540070,-4.49417801972,0.006,0.006,90,3209634905754969856,83.84111738227,0.1226,-4.49416720872,0.1322,0.4468,0.1712,0.459,0.394,2.511,0.384,0,4.59933e+07,2.33029e+04,6.531630,3.55849e+07,4.39711e+04,6.473224,1.72198e+07,2.63135e+04,6.671847,-0.198623,,,8868.67,0.0930,0.0410,,
0.135677,45,84.696691,-2.594625,2117,5,38,47.2058,1300,-2,35,40.65,2000,1985.036,84.69668750060,-2.59458747430,0.002,0.002,90,3216486478101981056,84.69669302148,0.0818,-2.59459015152,0.0899,2.2801,0.0955,1.281,0.149,-0.622,0.140,0,4.17389e+07,8.59181e+04,6.637014,3.26017e+07,2.14628e+05,6.568289,1.54531e+07,2.00720e+05,6.789381,-0.221092,,,8868.67,0.0640,0.0340,,
